Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
-0.9950167,-7.844326,-2.2984462,0.12724721,-4.6785746,-10.762461,4.059782,-3.5209224,-0.7994876,-2.8205295
-0.99618924,-7.83885,-2.2979755,0.12545204,-4.6764765,-10.753866,4.055883,-3.5194867,-0.80065084,-2.819268
-0.99736154,-7.833376,-2.2975044,0.123657346,-4.6743774,-10.745274,4.0519857,-3.518051,-0.80181336,-2.8180072
-0.99853265,-7.8279,-2.2970338,0.12186229,-4.672278,-10.736679,4.048089,-3.5166137,-0.80297613,-2.8167453
-0.99970496,-7.822423,-2.2965624,0.12006712,-4.6701784,-10.728086,4.0441923,-3.5151765,-0.80413985,-2.8154848
-1.0008765,-7.816948,-2.2960916,0.118272305,-4.668078,-10.719496,4.040294,-3.5137427,-0.8053026,-2.8142235
-1.0020486,-7.811474,-2.295621,0.11647594,-4.665979,-10.710901,4.0363965,-3.5123675,-0.8064656,-2.812963
-1.0032207,-7.805999,-2.29515,0.11468172,-4.6638803,-10.702312,4.0324984,-3.5110362,-0.8076291,-2.8117013
-1.0043932,-7.8005238,-2.2946799,0.11288667,-4.661781,-10.693716,4.0286036,-3.5097058,-0.80879164,-2.8104403
-1.0055648,-7.7950487,-2.2942085,0.11109078,-4.6596813,-10.68512,4.0247064,-3.5083725,-0.8099549,-2.8091793
-1.0067366,-7.789572,-2.2937376,0.10929608,-4.657582,-10.676531,4.0208087,-3.5070407,-0.81111765,-2.8079183
-1.0079094,-7.784096,-2.2932663,0.10750055,-4.655482,-10.667936,4.0169106,-3.5057085,-0.81228137,-2.8066561
-1.0090812,-7.7786207,-2.2927952,0.10570514,-4.653383,-10.659346,4.0130134,-3.5043757,-0.8134444,-2.8053958
-1.0102533,-7.7731457,-2.2923243,0.103910446,-4.6512837,-10.650749,4.009116,-3.5030448,-0.81460786,-2.8041344
-1.0114254,-7.7676725,-2.2918541,0.10211563,-4.6491838,-10.642157,4.0052195,-3.5017126,-0.8157704,-2.8028734
-1.0125972,-7.7621956,-2.2913828,0.10032046,-4.6470838,-10.633564,4.0013223,-3.5003812,-0.81693316,-2.8016121
-1.013769,-7.7567196,-2.2909126,0.09851992,-4.6449842,-10.624971,3.997425,-3.499048,-0.8180957,-2.8003511
-1.0149413,-7.7512455,-2.2904415,0.09669328,-4.642885,-10.616375,3.9935274,-3.4977167,-0.8192594,-2.79909
-1.0161132,-7.7457695,-2.28997,0.09486735,-4.6407866,-10.607786,3.9896314,-3.4963858,-0.8204224,-2.7978296
-1.017285,-7.7402945,-2.2894993,0.09304106,-4.6386867,-10.599192,3.9857345,-3.4950554,-0.8215852,-2.7965677
-1.018458,-7.7348175,-2.2890282,0.0912143,-4.6365867,-10.590595,3.9818358,-3.4937222,-0.8227484,-2.795307
-1.0196294,-7.7293425,-2.2885575,0.08938813,-4.634488,-10.582006,3.9779377,-3.49239,-0.8239119,-2.7940452
-1.0208024,-7.7238684,-2.288087,0.087561846,-4.632388,-10.573414,3.9740403,-3.4911554,-0.82507515,-2.792784
-1.0219742,-7.7183914,-2.2876158,0.08573604,-4.6302876,-10.564819,3.9701438,-3.4899518,-0.8262379,-2.7915227
-1.0231456,-7.7129173,-2.2871451,0.08390999,-4.6281896,-10.556225,3.966247,-3.4887478,-0.82740116,-2.7902622
-1.0243176,-7.7074413,-2.2866745,0.082083344,-4.6260896,-10.547634,3.9623494,-3.4875443,-0.8285639,-2.7890012
-1.0254902,-7.701969,-2.2862034,0.08025718,-4.6239896,-10.53904,3.9584517,-3.4863403,-0.8297279,-2.7877398
-1.0266618,-7.6964903,-2.285732,0.07843113,-4.621891,-10.530449,3.954556,-3.4851367,-0.83088994,-2.7864788
-1.0278338,-7.6910157,-2.2852612,0.076604605,-4.6197915,-10.521856,3.9506583,-3.4839323,-0.8320539,-2.7852173
-1.0290056,-7.68554,-2.2847905,0.07477856,-4.617692,-10.513266,3.946752,-3.4827292,-0.8332162,-2.7839565
-1.030178,-7.6800632,-2.284319,0.07295179,-4.6155925,-10.504665,3.942668,-3.4815238,-0.83438015,-2.7826946
-1.0313507,-7.674589,-2.2838488,0.07112551,-4.613493,-10.496073,3.9385836,-3.4803221,-0.8355427,-2.7814338
-1.0325218,-7.669115,-2.2833776,0.06929946,-4.611394,-10.487482,3.9345012,-3.4791172,-0.83670616,-2.7801735
-1.0336941,-7.6636386,-2.282907,0.06747329,-4.609294,-10.478889,3.9304183,-3.4779127,-0.8378689,-2.7789118
-1.0350152,-7.658164,-2.2824354,0.065647244,-4.607195,-10.470299,3.9263363,-3.47671,-0.8390322,-2.7776504
-1.0363454,-7.652688,-2.281965,0.06382048,-4.605095,-10.461704,3.9222536,-3.475505,-0.84019446,-2.7763898
-1.037675,-7.647213,-2.2814944,0.06199491,-4.602996,-10.453112,3.918171,-3.4743006,-0.84135795,-2.7751286
-1.0390056,-7.641738,-2.281023,0.060168147,-4.600896,-10.444517,3.9140873,-3.473097,-0.8425214,-2.7738678
-1.0403355,-7.636264,-2.280552,0.058342338,-4.5987973,-10.435926,3.9100053,-3.471893,-0.84368443,-2.7726066
-1.0416657,-7.6307883,-2.2800817,0.05651617,-4.5966973,-10.427332,3.9059217,-3.4706905,-0.8448467,-2.7713447
-1.0429958,-7.625313,-2.2796102,0.05468917,-4.5945983,-10.418739,3.901838,-3.4694855,-0.84601045,-2.7700837
-1.0443252,-7.6198363,-2.2791395,0.05286324,-4.5924983,-10.410147,3.8977551,-3.468282,-0.84717274,-2.768823
-1.0456558,-7.6143622,-2.2786689,0.05103743,-4.5903993,-10.401554,3.893671,-3.4670784,-0.848336,-2.767562
-1.0469857,-7.608884,-2.2781975,0.049210906,-4.5882998,-10.3929615,3.8895912,-3.4658735,-0.84949946,-2.7663004
-1.0483164,-7.6034093,-2.2777271,0.04738474,-4.586201,-10.384367,3.8855062,-3.464671,-0.85066247,-2.765039
-1.0496463,-7.597936,-2.2772563,0.045558214,-4.584101,-10.375774,3.8814223,-3.4634645,-0.85182524,-2.7637782
-1.0509762,-7.5924606,-2.2767854,0.043732166,-4.5820017,-10.367182,3.8773413,-3.462262,-0.8529885,-2.7625175
-1.0523065,-7.586986,-2.2763143,0.041906357,-4.579902,-10.358587,3.873258,-3.4610589,-0.8541522,-2.7612562
-1.0536355,-7.5815105,-2.2758431,0.04008007,-4.5778027,-10.349998,3.8691754,-3.4598544,-0.855314,-2.7599947
-1.0549666,-7.576032,-2.2753725,0.038253784,-4.575703,-10.341406,3.8650918,-3.4586508,-0.856477,-2.7587335
-1.0562967,-7.5705595,-2.2749012,0.03642702,-4.5736036,-10.332806,3.8610096,-3.4574454,-0.85764,-2.7574725
-1.0576266,-7.565084,-2.2744308,0.034600735,-4.571504,-10.324215,3.856926,-3.4562438,-0.85880375,-2.7562115
-1.0589565,-7.5596066,-2.27396,0.032774806,-4.569405,-10.315622,3.8528428,-3.4550393,-0.85996675,-2.7549503
