Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
-3.690731,-3.6266348,-2.5396614,-3.591961,-3.209467,-3.2816095,-1.9247612,-2.394525,-3.0340943,-2.8705816
-3.6892498,-3.625289,-2.5388336,-3.5905893,-3.2083619,-3.280406,-1.9244865,-2.393887,-3.0330007,-2.8695965
-3.6877673,-3.623944,-2.5380049,-3.5892189,-3.2072558,-3.2792015,-1.9242117,-2.393249,-3.0319068,-2.8686123
-3.6862845,-3.6225996,-2.5371768,-3.587848,-3.206151,-3.277998,-1.923937,-2.392611,-3.030812,-2.8676271
-3.6848023,-3.6212544,-2.5363486,-3.5864773,-3.205045,-3.2767944,-1.9236623,-2.391973,-3.0297184,-2.8666425
-3.6833208,-3.6199088,-2.53552,-3.585106,-3.203939,-3.275591,-1.9233875,-2.391335,-3.0286243,-2.8656578
-3.6818383,-3.6185637,-2.534692,-3.5837348,-3.2028337,-3.274387,-1.9231128,-2.3906968,-3.02753,-2.8646727
-3.680357,-3.6172183,-2.533864,-3.5823643,-3.2017283,-3.2731829,-1.922838,-2.390059,-3.0264366,-2.8636885
-3.6788752,-3.6158736,-2.5330353,-3.5809927,-3.200623,-3.2719789,-1.9225633,-2.389421,-3.0253422,-2.8627033
-3.6773932,-3.6145272,-2.5322075,-3.579622,-3.1995173,-3.2707763,-1.9222885,-2.388783,-3.0242484,-2.8617187
-3.6759107,-3.6131825,-2.5313792,-3.5782506,-3.1984122,-3.2695718,-1.9220138,-2.388145,-3.023154,-2.860734
-3.674428,-3.611837,-2.5305507,-3.57688,-3.1973062,-3.2683678,-1.9217391,-2.3875067,-3.0220597,-2.8597498
-3.672947,-3.6104922,-2.5297227,-3.575509,-3.1962006,-3.2671642,-1.9214644,-2.386869,-3.0209663,-2.8587646
-3.6714644,-3.6091464,-2.5288942,-3.574138,-3.195095,-3.2659602,-1.9211895,-2.3862305,-3.0198717,-2.8577805
-3.669983,-3.6078022,-2.5280662,-3.5727668,-3.1939898,-3.2647567,-1.9209149,-2.3855927,-3.0187783,-2.8567953
-3.6685004,-3.606457,-2.527238,-3.5713956,-3.192884,-3.2635527,-1.9206401,-2.3849545,-3.0176837,-2.8558106
-3.6670182,-3.6051111,-2.5264094,-3.570025,-3.191779,-3.2623491,-1.9203655,-2.384317,-3.01659,-2.854826
-3.6655362,-3.603766,-2.5255811,-3.5686545,-3.1906729,-3.2611456,-1.9200907,-2.3836784,-3.0154955,-2.8538408
-3.6640549,-3.6024206,-2.524753,-3.567283,-3.189568,-3.2599416,-1.919816,-2.3830404,-3.014402,-2.8528562
-3.6625729,-3.6010754,-2.5239246,-3.5659127,-3.1884615,-3.2587376,-1.9195412,-2.3824024,-3.013308,-2.8518715
