"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474,-11.8256905166474
-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297,-11.8208285208297
-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122,-11.8159665250122
-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945,-11.8111045291945
-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769,-11.8062425333769
-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593,-11.8013805375593
-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417,-11.7965185417417
-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241,-11.7916565459241
-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065,-11.7867945501065
-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889,-11.7819325542889
-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713,-11.7770705584713
-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537,-11.7722085626537
-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361,-11.7673465668361
-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185,-11.7624845710185
