Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
-3.8225834,-6.6726522,-5.952988,-5.928813,-5.28179,-5.2016015,-4.8503394,-4.56125,-3.4432075,-5.635766
-3.821236,-6.670278,-5.951004,-5.926787,-5.2800007,-5.199868,-4.8487673,-4.5597973,-3.4421322,-5.6340194
-3.8198886,-6.667902,-5.949019,-5.9247594,-5.278213,-5.198136,-4.8471947,-4.558344,-3.4410567,-5.6322722
-3.81854,-6.665527,-5.947034,-5.9227324,-5.2764235,-5.1964025,-4.8456216,-4.55689,-3.4399817,-5.630526
-3.8171923,-6.663152,-5.94505,-5.9207063,-5.274636,-5.1946707,-4.8440485,-4.5554366,-3.4389071,-5.6287794
-3.8158448,-6.6607766,-5.9430633,-5.91868,-5.272847,-5.192938,-4.8424764,-4.5539827,-3.4378324,-5.6270337
-3.8144975,-6.6584015,-5.9410787,-5.916652,-5.271059,-5.191205,-4.8409033,-4.552529,-3.436757,-5.625286
-3.8131495,-6.6560273,-5.9390926,-5.9146266,-5.2692704,-5.1894727,-4.839331,-4.5510764,-3.4356818,-5.6235404
-3.8118007,-6.6536508,-5.937109,-5.9126,-5.267482,-5.187739,-4.837758,-4.5496225,-3.434607,-5.6217947
-3.8104541,-6.651276,-5.935124,-5.9105744,-5.265693,-5.186007,-4.8361855,-4.5481687,-3.4335322,-5.6200485
-3.8091056,-6.648901,-5.9331393,-5.908547,-5.263905,-5.184274,-4.834613,-4.5467153,-3.432457,-5.618301
-3.8077583,-6.6465263,-5.9311543,-5.906521,-5.2621155,-5.182542,-4.83304,-4.5452614,-3.431382,-5.616555
-3.8064103,-6.6441507,-5.9291697,-5.9044933,-5.2603273,-5.1808085,-4.831467,-4.5438085,-3.4303074,-5.6148086
-3.8050625,-6.6417756,-5.9271836,-5.9024673,-5.258539,-5.1790752,-4.8298936,-4.5423546,-3.4292316,-5.613063
-3.8037145,-6.639401,-5.925199,-5.900441,-5.2567506,-5.177344,-4.8283224,-4.540901,-3.4281573,-5.6113157
-3.8023663,-6.637026,-5.9232144,-5.898414,-5.2549615,-5.1756105,-4.82675,-4.5394473,-3.4270818,-5.609569
-3.8010187,-6.63465,-5.921229,-5.8963866,-5.253173,-5.1738777,-4.8251762,-4.5379934,-3.426007,-5.607824
-3.799671,-6.632275,-5.919245,-5.8943605,-5.251385,-5.1721444,-4.8236036,-4.536541,-3.4249318,-5.606077
-3.798323,-6.6299,-5.9172583,-5.892334,-5.249597,-5.170411,-4.822031,-4.5350866,-3.4238577,-5.6043305
-3.796975,-6.627525,-5.9152737,-5.8903074,-5.247808,-5.1686788,-4.820458,-4.533633,-3.422782,-5.6025834
-3.7956285,-6.62515,-5.9132895,-5.888281,-5.2460194,-5.166946,-4.818885,-4.53218,-3.4217072,-5.6008377
-3.79428,-6.6227746,-5.911304,-5.8862543,-5.244231,-5.1652136,-4.8173127,-4.530726,-3.4206321,-5.5990906
-3.7929327,-6.6204004,-5.90932,-5.8842278,-5.2424426,-5.163481,-4.81574,-4.5292726,-3.419557,-5.597345
-3.7915847,-6.6180243,-5.907335,-5.8822007,-5.2406535,-5.1617484,-4.814167,-4.527819,-3.418482,-5.5955987
-3.7902367,-6.615649,-5.905349,-5.880174,-5.2388654,-5.160015,-4.812594,-4.5263658,-3.4174068,-5.5938516
-3.7888885,-6.6132736,-5.9033647,-5.878148,-5.237077,-5.1582823,-4.811022,-4.5249124,-3.4163318,-5.5921054
-3.787541,-6.6108994,-5.9013796,-5.8761215,-5.235288,-5.15655,-4.8094482,-4.523458,-3.4152572,-5.590359
-3.7861927,-6.6085243,-5.8993945,-5.874096,-5.2334995,-5.1548176,-4.807875,-4.522005,-3.414182,-5.588613
-3.784846,-6.606149,-5.8974104,-5.872068,-5.231711,-5.1530843,-4.8063035,-4.520551,-3.413107,-5.586867
-3.7834978,-6.6037736,-5.8954244,-5.8700414,-5.229923,-5.1513515,-4.80473,-4.519098,-3.412032,-5.58512
