"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882,-4.67894620886882
-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723,-4.67646407785723
-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892,-4.6739819469892
-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831,-4.67149981640831
-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812,-4.66901768625812
-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822,-4.6665355566822
-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412,-4.66405342782412
-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744,-4.66157129982744
-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573,-4.65908917283573
-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256,-4.65660704699256
-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415,-4.6541249224415
-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611,-4.65164279932611
-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996,-4.64916067778996
-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662,-4.64667855797662
-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966,-4.64419644002966
-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263,-4.64171432409263
-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912,-4.63923221030912
-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269,-4.63675009882269
-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769,-4.6342679897769
-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532,-4.63178588331532
-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152,-4.62930377958152
