"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942,-4.88847362346942
-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027,-4.88638144648027
-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451,-4.88428926962451
-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554,-4.88219709303554
-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677,-4.88010491684677
-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157,-4.87801274119157
-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336,-4.87592056620336
-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552,-4.87382839201552
-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146,-4.87173621876146
-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455,-4.86964404657455
-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822,-4.86755187558822
-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584,-4.86545970593584
-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082,-4.86336753775082
