"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023,-1.97626670114023
-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798,-1.97495094741798
-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574,-1.97363519369574
-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349,-1.97231943997349
-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125,-1.97100368625125
-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901,-1.96968793252901
-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677,-1.96837217880677
-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452,-1.96705642508452
-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228,-1.96574067136228
-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003,-1.96442491764003
-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779,-1.96310916391779
-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555,-1.96179341019555
-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331,-1.96047765647331
-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106,-1.95916190275106
-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882,-1.95784614902882
-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657,-1.95653039530657
-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433,-1.95521464158433
-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209,-1.95389888786209
-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984,-1.95258313413984
-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176,-1.9512673804176
-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535,-1.94995162669535
-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311,-1.94863587297311
-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087,-1.94732011925087
-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863,-1.94600436552863
-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638,-1.94468861180638
-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414,-1.94337285808414
-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189,-1.94205710436189
-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965,-1.94074135063965
-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741,-1.93942559691741
-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517,-1.93810984319517
-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292,-1.93679408947292
