ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.7271729,2.6828537,2.7092466,2.6391861,2.71826,2.6662798,2.6728857,2.664601,2.65527
2.7111907,2.6056318,2.6680298,2.548161,2.6343746,2.6821213,2.6646996,2.676268,2.5916069
2.6866264,2.5756106,2.760434,2.5049796,2.8073266,2.6194835,2.6722252,2.6249404,2.5839965
2.7031598,2.5867753,2.7114449,2.4569187,2.738085,2.5558996,2.6379766,2.5340958,2.535347
2.7327225,2.9198346,2.844115,2.9814825,2.8378148,2.9318585,2.9497108,2.8861938,2.9145007
2.7529242,2.61382,2.7827678,2.6037745,2.776782,2.549911,2.674574,2.594646,2.6182628
2.7280536,2.8412695,2.7487261,2.9854503,2.808718,2.8538482,2.7913682,2.8046403,2.877003
2.709097,2.7027178,2.7363186,2.7511725,2.7652097,2.7126236,2.6950183,2.7457957,2.7526357
2.7095628,2.6511884,2.70014,2.5560322,2.783864,2.621718,2.7251554,2.6485648,2.6196976
2.6918445,2.7670784,2.7492225,2.7783363,2.834922,2.7909482,2.7889383,2.7613926,2.7789836
2.6548953,2.904872,2.7798052,2.7821746,2.967307,2.7946644,2.9473839,2.7865148,2.8119776
2.7443864,2.6863194,2.793428,2.684464,2.782422,2.6530457,2.718142,2.665458,2.6903076
2.7669916,2.8053112,2.8109407,2.7924266,2.8099813,2.8121705,2.865487,2.8021617,2.799633
2.967998,2.9566927,2.8142452,2.9514327,2.8689156,2.8604116,2.8040364,2.876316,2.9325361
2.8474526,2.877214,2.8351326,2.9028573,2.8286357,2.894496,2.834363,2.872123,2.8774
2.689769,2.615361,2.7178197,2.6541107,2.41927,2.745327,2.74998,2.6969476,2.6163592
2.754235,2.8417225,2.8349352,2.8456128,2.9039495,2.828236,2.9471283,2.8485432,2.8419187
2.9689634,2.8013482,2.8968596,2.9782996,2.8121932,2.8853452,2.8877096,2.9219394,2.9888906
2.672265,2.6873908,2.7559981,2.656818,2.8267179,2.6705422,2.7731464,2.6925435,2.6256945
2.5946538,2.8359113,2.6184862,2.8257372,2.6184065,2.763881,2.6328354,2.7176592,2.8371584
2.792822,2.878768,2.8866448,2.9814954,2.7428727,2.9184837,2.9410079,2.9215517,2.9140756
2.89964,2.8225317,2.8086798,2.8567562,2.76648,2.8291407,2.759271,2.8453827,2.863541
2.896266,2.9929771,2.7726731,2.9928389,2.8263986,2.9752028,2.836781,2.9396944,3.031192
2.6949406,2.5836167,2.6719642,2.5824897,2.6658998,2.6464734,2.5676358,2.6759887,2.642965
2.6783586,2.794068,2.7690015,2.847166,2.821347,2.8290763,2.8140452,2.7914538,2.818054
2.6280046,2.7345898,2.7468338,2.7802138,2.7006993,2.770762,2.7635393,2.7593484,2.7602932
2.7543855,2.7214196,2.7426808,2.7837386,2.7590322,2.8115807,2.7308915,2.7880678,2.7383683
2.6553257,2.7557,2.7574806,2.773365,2.6988256,2.7738986,2.7971745,2.766523,2.766489
2.721634,2.7863898,2.7288938,2.7307882,2.791109,2.7721863,2.8033435,2.7583113,2.7338398
3.1099448,3.0684052,2.9524221,3.1791434,2.9589505,3.033319,2.9907804,3.059902,3.1249664
2.6439316,2.794862,2.7589235,2.8368225,2.725726,2.783792,2.7738953,2.7435546,2.7678096
2.727356,2.6338847,2.7563853,2.6154652,2.76779,2.687695,2.67558,2.7139156,2.6592476
2.830014,2.8129344,2.772521,2.7085195,2.8213024,2.8152862,2.8148282,2.8559752,2.8344834
2.621731,2.6652484,2.7144556,2.716483,2.6802354,2.668388,2.645655,2.728191,2.7630227
2.7004366,2.7676463,2.7428784,2.7843087,2.7481909,2.784945,2.8030758,2.7420297,2.7368662
2.6896071,2.4816356,2.6417449,2.4444177,2.6813087,2.5296817,2.5491788,2.4487789,2.4248986
2.6553512,2.763393,2.8199868,2.879594,2.7661822,2.8371563,2.8845694,2.7997081,2.8006463
2.59556,2.7826772,2.7160525,2.801395,2.7625241,2.7572966,2.7772908,2.7182395,2.7570536
2.783123,2.7692409,2.7346344,2.8060055,2.783713,2.7674103,2.6687806,2.7884839,2.786767
2.723795,2.8626413,2.7495227,2.8813457,2.830955,2.8533278,2.8013835,2.8254826,2.8466825
2.5661068,2.7984004,2.6804767,2.9625025,2.686247,2.814405,2.7073245,2.7659798,2.8314695
2.7690525,2.795301,2.7667665,2.765312,2.8252738,2.7954803,2.7828884,2.7786648,2.7886283
2.9406323,2.9786868,2.884025,2.9923,2.86616,2.9004989,3.013409,2.9563124,2.9669356
2.7022266,2.593239,2.6762364,2.5855951,2.6970456,2.6172209,2.5595918,2.5930521,2.5578365
2.7294793,2.6547265,2.753757,2.7236505,2.7245708,2.7767615,2.7272165,2.7495666,2.7099333
2.731161,2.6433954,2.7522726,2.662665,2.76401,2.6615005,2.6911614,2.6493225,2.671232
2.7556448,2.7968898,2.726067,2.64349,2.8364754,2.7184825,2.8767152,2.718556,2.7068675
2.634608,2.5828428,2.6539068,2.5011196,2.6853333,2.5439794,2.6387687,2.5521183,2.5733743
2.8996909,2.7549958,2.7980921,2.6925287,2.811826,2.6812897,2.6859694,2.770252,2.797686
2.7934635,2.813939,2.7972174,2.881308,2.8338766,2.8252883,2.8225327,2.8280401,2.9098577
2.602121,2.7124386,2.852253,2.720829,2.3804832,2.7449145,2.3560243,2.7574553,2.6809988
2.7611141,2.7631087,2.761405,2.7982543,2.7637775,2.8161564,2.7493968,2.775666,2.7525768
2.6220622,2.6823027,2.6713316,2.6308591,2.710783,2.6685538,2.6817665,2.658699,2.6482043
2.741984,2.8644185,2.7405205,2.766314,2.7912133,2.7902198,2.8422797,2.7663662,2.7788897
2.6988523,2.657442,2.7097175,2.611949,2.604464,2.67969,2.7214448,2.6284575,2.605537
3.010161,2.9006257,2.9568663,2.93331,2.9133162,2.9080753,3.0193374,2.978936,2.9950995
3.044086,3.038528,2.9407,3.1460052,2.9491436,3.0666504,3.0448463,3.0035963,3.1349237
3.0725546,3.0136852,3.0428793,3.1016126,3.025767,3.0515754,3.001916,2.9327796,3.0952291
2.7079105,2.5785637,2.7378054,2.5630116,2.7593563,2.5819168,2.6734633,2.6502385,2.5712519
2.723345,2.7141795,2.6829515,2.641983,2.6687927,2.6564755,2.616866,2.6903453,2.6628046
2.8049564,2.8503866,2.841282,2.89819,2.7417057,2.8453178,2.8276815,2.8539991,2.8341448
2.7393904,2.7360892,2.8191986,2.7562556,2.8352897,2.7755265,2.8188593,2.7857685,2.7574675
2.734096,2.8568962,2.862,2.9107609,2.8046055,2.8540292,2.861443,2.8364937,2.844435
2.8001294,2.7014217,2.7729576,2.7309468,2.7937973,2.6573873,2.6914823,2.6811166,2.7026691
2.798273,2.8136106,2.8152738,2.826089,2.8039129,2.813704,2.8504004,2.8444772,2.8339891
2.79907,2.763785,2.7834682,2.7313714,2.8223002,2.721047,2.7832665,2.7423415,2.7609642
2.630347,2.564767,2.6385036,2.5949397,2.7062619,2.6092987,2.5558953,2.6194682,2.594871
2.7844362,2.6054807,2.8346782,2.6404347,2.858101,2.5899043,2.738476,2.6961448,2.604883
2.7630966,2.724349,2.7181213,2.7066422,2.7711134,2.7531133,2.6972976,2.741845,2.7065477
2.7823062,2.8000927,2.7847605,2.8576944,2.7967365,2.8519316,2.7674694,2.8145297,2.816818
2.6983004,2.7705717,2.7740793,2.7957506,2.699315,2.7849956,2.8090637,2.7696683,2.776697
2.8171456,2.8447263,2.7692852,2.7460842,2.8168008,2.8593512,2.8900466,2.8474212,2.7714128
2.7433224,2.6795425,2.805006,2.6934702,2.7515247,2.6769676,2.715871,2.695136,2.7105699
2.7595704,2.7514281,2.8421063,2.7595797,1.8441856,2.8369873,2.8102312,2.806593,2.747501
2.731657,2.6427903,2.7333179,2.667967,2.788107,2.668892,2.6776228,2.6716008,2.653704
