"ENSG00000187514","ENSG00000075624","ENSG00000147604","ENSG00000110700","ENSG00000172757","ENSG00000133112","ENSG00000067225","ENSG00000108518","ENSG00000125691"
2.78188558572712,2.75928961824139,2.78375845411667,2.78846949863462,2.82696860074985,2.85354823586421,2.78729700404303,2.85389729652916,2.77666448047853
2.82943604319918,2.84651786965469,2.80553164440024,2.82051570961607,2.82464027630332,2.90308569868648,2.78938275861857,2.81419276210248,2.78928899660819
2.84400699813862,2.82447656319917,2.80958913826873,2.82816222124043,2.83574434199307,2.81737332976623,2.91063458046406,2.81700159695062,2.8358741608546
2.78448254795672,2.76563369961246,2.78703516281739,2.78532290433493,2.79980046823508,2.79967703414191,2.78275329280014,2.77928530097275,2.82568134050941
2.84775184515125,2.86572106417707,2.83095379291439,2.83529180845019,2.78945944763347,2.8466547896187,2.85830224429474,2.77074923506324,2.90876309957942
2.78606356874863,2.77671910139748,2.79366321372183,2.79266790108368,2.81015796896511,2.84118405604193,2.77553846176308,2.82090505432594,2.8128105336843
2.78182934746441,2.76862435666125,2.76545063939107,2.77615900260147,2.77487685772359,2.84298912386961,2.77824963805,2.78106984040017,2.79361802333646
2.8550943401233,2.82139350597089,2.84639045654435,2.83806712565846,2.83928248248951,2.82790024749427,2.8511385870618,2.82578580815559,2.82690755694669
2.85107944691244,2.85166351248643,2.81389247402536,2.85296051358862,2.85328057736378,2.82971191235608,2.92172831752417,2.85451661360678,2.83623302518234
2.90549447832828,2.84321726337054,2.81854484857249,2.85332071324719,2.86505445041051,2.87247123945541,2.95170359196521,2.88904708980337,2.86543698781224
2.77526003498337,2.75644493924653,2.79365583329882,2.77375698828725,2.87269686633664,2.82696588422594,2.81537876982103,2.92920071394837,2.8364289144
2.77669831402485,2.74183167641474,2.78837874452936,2.74273853683401,2.75424438942209,2.93578285064716,2.71934324814842,2.77406829542378,2.74772506696863
2.80792551504603,2.72659497192482,2.71098837470806,2.73654826775801,2.74054363349049,2.74700137166657,2.76227991617984,2.85650715179375,2.74684017706093
2.72537839467227,2.71969060120337,2.62689486634859,2.6809765804638,2.70538205466144,2.62274042837486,2.67505421358212,2.71422126819127,2.6547899484481
3.65526148181416,4.14338435505484,3.36008346332134,3.92765593830832,3.39105541534539,3.79818554460252,3.69562215494605,3.34565659638217,3.60548382752799
2.69992803626335,2.62528988503493,2.7815244590152,2.70190720865612,2.65654586382083,2.77781409215124,2.74687932810578,2.76792826912821,2.80440023283732
2.75328620654615,2.71310777253666,2.66583520645263,2.7311865737734,2.69734438469526,2.70061875019496,2.66973853276224,2.67037666409164,2.69421725237639
2.80960624650611,2.77226816600214,2.79297967403831,2.80768345721182,2.76158480697956,2.82891313541959,2.83379898020525,2.78980094166958,2.84649781765015
2.82195778240773,2.79264908251288,2.80032490197052,2.8245274999623,2.78740771111561,2.7856515812151,2.85820513782098,2.75732994325384,2.86957126763142
2.7645454099432,2.76986372138987,2.75790181024125,2.76506182410383,2.78912877549439,2.80291247447535,2.82530506244836,2.74545945140686,2.78414744794034
2.78034176437571,2.78204752970147,2.7760018216098,2.80171278792637,2.78467846181614,2.79554536093455,2.8235313594281,2.78800525096241,2.80024142205059
2.76609742294029,2.75305804250163,2.76485304658379,2.76261151126211,2.77287789932578,2.79733573496689,2.74779583414796,2.75975127619889,2.7137253965977
2.81994872013459,2.79297208342644,2.80593268845333,2.78435184967654,2.83589672576571,2.79865152614191,2.80386974686831,2.85136507431873,2.81501589671792
