"Run1","Run2","Run3","Run4","Run5","Run6","Run7","Run8","Run9","Run10"
2.79112990683729,2.7842238665195,2.81633524556446,2.78878662844073,2.75645894825352,2.79093160247174,2.79341045765797,2.81639401087225,2.75172865916107,2.83725116711472
2.83004465204957,2.80804922186396,2.859032516917,2.80027337498448,2.8034143746212,2.80707149608394,2.78456538890244,2.84589652793967,2.86081678849387,2.85538616955779
2.85119311460316,2.84913043080716,2.8378111606356,2.88366522970212,2.85573544651965,2.85030244832284,2.83311116129757,2.85603290203313,2.85926319597911,2.85025543730658
2.79999510021995,2.81180674099167,2.80074108762004,2.76847632455294,2.78742764593378,2.79869536973579,2.77017549358765,2.80258071196776,2.79045117305894,2.80902084149745
2.85894955955693,2.86263639874831,2.82788794845097,2.83347610086914,2.84359174471718,2.8640897435555,2.85352884802171,2.84122504959297,2.90835352623772,2.81043788339347
2.80205748231141,2.79286813301441,2.81024519908133,2.76469356785119,2.73586029872752,2.81520903960203,2.76370932663541,2.78659697877445,2.76276553546815,2.77540657066522
2.77367998624232,2.78687810190373,2.77423086991637,2.75652324354534,2.7618843215293,2.74340303147663,2.76433507829133,2.7727675077271,2.77323659042686,2.80183243377832
2.83582562003376,2.87135637977039,2.86897270252476,2.83663535289716,2.78869431310855,2.83212554744644,2.8268621216855,2.82620947210475,2.84136952888659,2.82786430670891
2.9049621202381,2.83348909733228,2.85324582182492,2.88738456785007,2.87333073446051,2.85750740982037,2.87753863783196,2.89144003924228,2.90092969802747,2.85740620200489
2.89207495489599,2.88966277806083,2.88430318949497,2.92197734809182,2.8740429723603,2.91140529702202,2.90188021255343,2.89740789215829,2.89730679077875,2.87078271430057
2.82784598113997,2.79540723167717,2.82047740906884,2.79118284632673,2.77594612338729,2.7910979420863,2.84498594235591,2.83974724841662,2.78406534413974,2.82708741850981
2.77704858858106,2.77297483366949,2.77923511511553,2.72408407440569,2.72402392752509,2.76972464261636,2.75948149092014,2.73442559139944,2.70481251534027,2.76146096719855
2.7786192405463,2.73831211555103,2.76309777608505,2.75812082055186,2.76260820240833,2.72743023067489,2.74808130838889,2.78430796788665,2.74839664557295,2.72846216167743
2.69856805938766,2.68359565102215,2.70287301921991,2.71419085686107,2.7268758001789,2.65467234824591,2.65044790258025,2.71364269865059,2.72079540202441,2.66183612105747
3.6359567384184,3.5443296765939,3.74756225607085,3.59963954291046,3.62150647689684,3.70674969514633,3.39363963694506,3.60552127383698,3.60203916611905,3.51506634580243
2.70166267438157,2.71537352191839,2.68013151079475,2.66273280196878,2.70351427423539,2.74523254196643,2.71707092190633,2.69214723332411,2.70724676272652,2.65641043574774
2.69852841857103,2.67944844304779,2.68887120914381,2.69007914781068,2.763171028377,2.66592747528391,2.6812037099916,2.74338424421672,2.71543081292219,2.71157946209032
2.80357255578252,2.83292094331289,2.80215023944215,2.81222239498109,2.79581328008602,2.8239089961499,2.81400641305319,2.79754569761754,2.80880956259108,2.80308513844624
2.81406253639945,2.80291484326812,2.79518866334316,2.85179497524699,2.82810465050701,2.82585155446062,2.83027917738983,2.82425049905957,2.79171184468526,2.76478164350886
2.78814954561806,2.72790211773687,2.75842022966292,2.78312391428873,2.8592311038644,2.81535783043647,2.760241636285,2.83385147086069,2.76690413143357,2.79316593534824
2.79131377644312,2.77962885739053,2.81938849348316,2.81257759676581,2.77300712930415,2.75630243926171,2.7727014368633,2.80271757340747,2.7762558769435,2.79946065492582
2.76504355147209,2.74838197856743,2.76681268862676,2.75022799804632,2.76152887347254,2.78006064411395,2.73311303508712,2.79702297278627,2.76881982170912,2.78199053464137
2.80182089260521,2.81145562690219,2.80918577593056,2.77596941431947,2.7736670336004,2.79248474599168,2.80400195647513,2.81620910858099,2.79973742885296,2.83970945671023
2.79720996463173,2.80268522242894,2.77555963621918,2.81093514749892,2.77482164875246,2.76495185587373,2.77246104680598,2.76303799589015,2.73802272669459,2.75322490564964
2.88740759601287,2.86021002001944,2.84115885878484,2.8834686318285,2.90650045115829,2.84978992891185,2.88801177847578,2.89124810878607,2.91982185331586,2.88227745346065
2.83722539352065,2.79061421247985,2.83622295150943,2.82326365981485,2.79767846840148,2.83341687422932,2.82938367816329,2.85463346137348,2.76989863418244,2.86562188977707
2.7615782156859,2.76590757613398,2.77733956777424,2.77796613167244,2.75080627323229,2.74449888997468,2.76206119549587,2.78105474163283,2.75673179557378,2.76540184860814
