ENSG00000075624,ENSG00000187514,ENSG00000133112,ENSG00000172757,ENSG00000067225,ENSG00000110700,ENSG00000125691,ENSG00000147604,ENSG00000108518
2.9304144483779235,3.0088793868626054,2.883003842045122,3.3064640089185526,3.0504069694209623,2.774917110732694,2.8578894634742813,2.6449323156926012,2.868789705849596
3.240776432462679,3.217995087377637,2.9726283914923517,3.4453654200580273,3.2563602297294167,2.500458266749759,3.105060915673412,2.6853168446333195,2.9556406893928893
3.0638547055532492,3.0392675260747453,2.8794455319216254,3.6088304117936088,3.0096775834371607,3.0998800889418523,3.044897013057011,2.738092362427232,3.104008079234235
2.9483158938533003,3.0717096042589596,2.842586085552107,3.370672078232971,3.148141911630092,3.030481804838075,2.959714362290787,2.688706554405805,2.9570473879031542
2.970085862885483,2.9828788925330865,2.8285916171205367,3.4261226663418616,3.0706629630439166,3.0403035873608792,3.049211658074177,2.6346740136720896,2.9925824447070926
2.8849160811110117,2.978935103289076,2.790785147739313,3.2897731855729537,3.1079046045135934,3.013857214290771,2.88792643386651,2.757587936445393,2.9846093191427534
2.808086541260667,3.082526943235532,2.7851090987386375,3.339336719508351,3.077593415993301,3.035459613197413,2.916636556799131,2.6684083165488404,2.9128930962579322
2.9354818370454714,3.076891264533708,2.8109886081905215,3.497133905775779,2.9960391134178526,2.7689876571705954,2.948321389608433,2.7139716539338674,2.8650985727460987
3.242669193839972,3.1010010105430044,2.978040396711078,3.707400945818615,3.13438470889671,3.06404984641428,3.1332202414300485,2.7340982071429685,3.1522392793674987
3.2112327476157327,3.05934864817479,2.9503158776340572,3.7581404198681363,3.1132204764362954,3.2126365709164,3.060823865585282,2.7871438766042447,3.172138554879603
2.8715065648606033,2.921984882130912,2.814902796282733,3.167408832779728,3.089292647428584,2.8738975927215438,2.8352939831611965,2.6419698048004028,2.877256352554943
2.4916430992248437,2.9936364901390613,2.65721204378942,3.1636408531961346,2.9487876288381116,2.8162304768991477,2.8084522226005317,2.782643517046803,2.8706544207150455
