"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-7.57465026556243,-5.67534726984337,-7.64397240942079,-5.57726019098695,-5.33491837182675,-5.83259276654622,-7.09513963397453,-7.4891197094812,-4.37651330253668,-6.50669433567072
-7.77764033409258,-5.41239013100407,-7.63468563648144,-5.61337640740684,-5.55419390781642,-5.81629236177937,-6.73135442202808,-7.33303726514629,-4.30194900968502,-6.30651544995914
-7.94731023857139,-5.68704870649321,-7.63374764867634,-5.82395076755786,-5.75203721681179,-5.85811486715164,-7.18824584429828,-7.19957738639439,-4.2774845265723,-6.30912453410166
-7.61425319378701,-5.45637898438753,-7.753529943901,-5.79862801510752,-5.60786960852945,-5.66811761497422,-6.91577949112577,-7.50871875301297,-4.40542068202553,-6.30609069865411
-7.62809004272345,-5.78817675650294,-7.64153292946019,-5.79957688093407,-5.68764266958567,-6.09423813597147,-6.86548556041994,-7.5405387111169,-4.40075054646913,-6.25890869671565
-7.83045652825046,-5.70697285145406,-7.58294920437672,-5.8058045678397,-5.73971048942035,-6.03470841964488,-6.83142866041932,-7.61572009601476,-4.24362397279132,-6.41879487894646
-7.54064011360997,-5.54753521749254,-7.55157881664752,-5.7491888441582,-5.72007152385997,-5.83009058734853,-7.24003975209388,-7.38852672602899,-4.50104756813088,-6.33663926567804
-7.6034309327604,-5.44723439923776,-7.69686616845823,-5.7586500345737,-5.52473245378097,-5.82284174791277,-7.03501265797175,-7.31186148417138,-4.31306493323478,-6.16022649309108
-7.64019534213271,-5.49498995458532,-7.4418079845052,-5.56688050584434,-5.66423721776067,-5.89236448266542,-7.18151366529831,-7.36101797788133,-4.40828618704599,-6.54716898355308
-7.54278760083874,-5.55194325349416,-7.77151360054105,-5.90328722311816,-5.65240280331363,-5.8616734804319,-6.91297842785594,-7.24186341799253,-4.27408581546117,-6.38859616992014
-7.619893915028,-5.52830061376099,-7.53044062354136,-5.65366683875897,-5.49310748637342,-5.51919288749557,-7.05330705087761,-7.24286768451845,-4.50568840074676,-6.56467218531657
-7.6339871869571,-5.74818911014122,-7.46732011359095,-5.82882020075147,-5.51718144590759,-5.96334205151769,-7.16538667892891,-7.60446752178477,-4.36872567173272,-6.37141712125985
-7.77857707046467,-5.53442634329952,-7.66987574172645,-5.67577203430654,-5.61786044317438,-5.87117362058352,-7.25373017373536,-7.30671152062976,-4.38556223741481,-6.62155642631765
-7.60744285168209,-5.66019751848312,-7.70783377052843,-5.66254921004263,-5.67031874629081,-6.0342734357721,-6.9458457914444,-7.29058102832123,-4.36661346382419,-6.34434816839947
-7.72200688369513,-5.5869238038627,-7.32085471923744,-5.80712646514381,-5.64500184028357,-5.88953041008929,-7.29360649425253,-7.63300028142071,-4.4933220504394,-6.4427865991722
-7.5901236721313,-5.8222788739782,-7.57243068770984,-5.76336521455171,-5.65956210278855,-5.93901946260357,-7.13513246605281,-7.50484108846293,-4.40815695320927,-6.46249952522193
-7.58954734611434,-5.72320560341443,-7.66865955514858,-5.65191746371295,-5.4911966052751,-5.64797117077441,-7.08646940631371,-7.06501055828957,-4.27287620724788,-6.24668140373564
-7.70499149784708,-5.67869500350452,-7.60331951950821,-5.90847619760474,-5.50109396050635,-5.86976566399876,-7.07886407247896,-7.23227033838087,-4.34239746887638,-6.4493570712233
-7.74230339247546,-5.59056869341542,-7.58572122857371,-5.66600567539774,-5.71904121220776,-5.87139659793658,-6.84645867036528,-7.4920751766978,-4.52666591876061,-6.50810366822087
-7.38866226731362,-5.57161688017721,-7.24752933894939,-5.78973980924658,-5.77989093799797,-5.66622192917675,-7.36668533988937,-7.01481975144336,-4.31849547999193,-6.28170585412015
-7.66204362454694,-5.69006092781777,-7.71938896292242,-5.50155075622666,-5.94715833994126,-5.91280486488692,-6.85523298971382,-7.2827544699855,-4.37731596875108,-6.31951881162038
-7.43579933397252,-5.72943495376729,-7.74395172476254,-5.88570737813225,-5.65267086374034,-5.8012542854243,-7.10477090296986,-7.61854841871913,-4.1740432382544,-6.40726980647244
-7.79009861420778,-5.72868780926015,-7.7900685248335,-5.88531693855432,-5.54345288772446,-5.8792589478201,-7.13340156597377,-7.48629796819598,-4.3310504220282,-6.47413822809457
-7.74263197611203,-5.76580501418459,-7.79478820407265,-5.99907137964737,-5.61974651765623,-5.95510968466274,-7.01813589288278,-7.34683458844307,-4.45406864021552,-6.32658198407608
-7.63103948938658,-5.45603656285313,-7.61756814582465,-5.73866200026908,-5.54157799860059,-5.7769769183317,-7.20636659488336,-7.20109686502096,-4.4700909069485,-6.39600581309253
-7.76214784352287,-5.69194424590447,-7.62567350538795,-5.61668605272004,-5.65315332429322,-5.75539138574277,-7.0871317585985,-7.53622952657416,-4.36138443243808,-6.2040245384216
-7.6560787802785,-5.64286979765537,-7.67804754660202,-5.80085845053946,-5.89513118016579,-5.91504308711753,-6.95120978268988,-7.34213976445849,-4.43385282419236,-6.53603143565927
-7.76587161094944,-5.61057424825201,-7.61959593111355,-5.73884612892173,-5.66382545024928,-5.99929153222995,-7.07414163966426,-7.53675949717243,-4.32962926136846,-6.39999937641036
-7.66951507713728,-5.70601296921062,-7.60453667367923,-5.57879260770611,-5.71720164422823,-5.85636345823328,-7.04896065817244,-7.43115771750751,-4.49484947940151,-6.35027034622747
-7.50834380408911,-5.76240581528245,-7.64183756011456,-5.91210075642295,-5.57247891896921,-5.6917493910189,-6.91661573503108,-7.34017171101139,-4.40691853337096,-6.58930053249057
-7.5265122822988,-5.69262145278829,-7.383841591369,-5.83266517766471,-5.7575371431462,-5.90606785591008,-7.04664734573226,-7.43902165741115,-4.44282186531781,-6.34123405796566
